Inventaire;Cote;Rubrique;Genre;Titre;SousTitre;ISBN;Auteur;Illustrateur;Annee;Editeur;Collection;Numero;Support;Mots-clefs;Niveau;Description;Taille;Date achat;Financement;Empruntable
1151;525.000;Terre - Saisons - Marées;Album;Notre planète;"";2736648218;Steedman (Scott);Scrace (Carolyn);1999;Epigones;Fenêtres;"";Livre;terre;Elémentaire;Depuis toujours l'homme s'interroge sur sa planète. Comment se situe la Terre dans notre système solaire et dans l'univers ? Comment est né l'univers ? Qu'y a-t-il à l'intérieur de la terre ? Pourquoi la croûte terrestre bouge-t-elle ? Comment se déclenche une éruption volcanique ? un tremblement de terre ? Comment se forment le vent, les nuages, la pluie, les éclairs ? Comment se sont formés les mers, les montagnes, les glaciers ? Quelles ont été les premières formes de vie ? Est-ce que notre planète est en danger ? Grâce à la science, beaucoup de ces questions ont trouvé une réponse, comme vous le découvrirez tout au long de ce livre. Pourtant, la Terre n'a pas livré tous ses secrets et certains mystères demeurent.;39 pages;"";"";Oui
1152;551.400;Relief - Océans - Rivières;Album;Sous les mers;"";273664820X;Collectif;"";1997;Epigones;Fenêtres;"";Livre;mer : géologie, mer : milieu,;Elémentaire;Comment la mer agit-elle sur le rivage ?  Qui vit dans l'océan ?  Les oiseaux de mer savent-ils nager ?  Qui fait les plus grands voyages ?  Comment respire-t-on sous l'eau ?  Pourquoi y a-t-il des marées ?  Les voiliers craignent-ils le vent ?  Qui pollue la mer ?  Comment protéger le bord de mer ?;"";"";"";Oui
1154;770.000;Photographie;Album;La photographie et le cinéma;"";2.7366.4819.6;Graham (Ian);Hewetson (Nicholas);1998;Epigones;Fenêtres;18;Livre;cinéma, photographie;Cycle 2;La photographie est omniprésente. Elle donne couleur et intérêt à la presse écrite, immortalise les moments importants de la vie. Comment est née la photographie ? Comment a-t-on utilisé les premières photos ? Qui a inventé le premier appareil photographique ? Comment marche un appareil de photos ? Que voit-on à l'intérieur ? A quoi sert le flash ? Comment la photo s'imprime-t-elle sur la pellicule ? Comment la développe-t-on ? Qu'est-ce qu'une photo satellite ? Comment les avions espions prennent-ils des photos ? Comment a-t-on animé les images ? Comment monter un film ? Comment faire des effets spéciaux et des trucages ? Et les dessins animés ? Cet album vous donnera toutes ces réponses et bien d'autres encore...;39 pages;"";"";Oui
803;800.000;Lire des histoires;Romans et nouvelles;Thésée : comment tuer le Minotaure ?;"";"";Duché (Jean);Lapointe (Jean);"";Hachette;Contes imagés;"";Livre;conte;Cycle 2;"";"";"";"";Oui
829;800.000;Lire des histoires;Contes;Contes de ma mère l'Oye;"";2070514161;Perrault (Charles);Doré (Gustave);1999;Gallimard;Folio junior édition spéciale;"";Livre;conte;Cycle 3;Réédition. Les contes, au texte intégral, sont précédés d'un avant-propos instructif sur l'auteur. Dans la préface, Perrault énonce sa politique, ses règles du conte. Les illustrations de Doré, sévères, recréent le contexte historique. Un classique à lire sinon par plaisir, par discipline.;224 p;"";"";Oui
836;800.000;Lire des histoires;Poèmes et comptines;Victor Hugo, un poète;"";2070551830;Laster (Arnaud);"";2002;Gallimard;Folio junior en poésie;1 185;Livre;poésie;Cycle 3;"";139 pages;"";"";Oui
837;800.000;Lire des histoires;Contes;Le parapluie et autres contes;"";"";Maupassant (Guy De);Hochain (Serge);"";Larousse;Classiques junior;"";Livre;conte;Cycle 3;"";"";"";"";Oui
838;800.000;Lire des histoires;Contes;Les contes du chat perché;"";"";Aymé (Marcel);"";"";Gallimard;Folio;"";Livre;conte;Cycle 3;"";"";"";"";Oui
839;800.000;Lire des histoires;Contes;Les contes bleus du chat perché;"";"";Aymé (Marcel);Dumas (Philippe);"";Gallimard;Folio;"";Livre;conte;Cycle 3;"";"";"";"";Oui
840;800.000;Lire des histoires;Contes;Le chat botté;"";"";Perrault (Charles);Molino (Roberto);"";Casterman;Le croque livres;"";Livre;conte;Cycle 3;"";"";"";"";Oui
841;800.000;Lire des histoires;Romans et nouvelles;Journal secret d'Adrien;13 ans 3/4;"";Townsend (Sue);"";"";Hachette;Jeunesse;"";Livre;histoire d'enfants;Cycle 3;"";"";"";"";Oui
842;800.000;Lire des histoires;Romans et nouvelles;Le cadeau d'Arthur;"";2211019145;Sancy (Guillaume de);"";1992;Ecole des loisirs;Mouche;"";Livre;histoire d'enfants, sentiment,;Cycle 2;Nennette est une tortue qui a failli être un poisson rouge, le dixième poisson rouge d'Arthur. Mais cette fois, Papa a enfin fait preuve d'imagination pour l'anniversaire de son fils. Nennette est vraiment une tortue exceptionnelle. Arthur dort avec elle, fait ses devoirs avec elle, et chaque matin, lui brosse sa carapace avec sa brosse à dents. Ils se comprennent rien qu'en se regardant. Dans la classe d'Arthur, on ne parle plus que de Nennette. Même la maîtresse meurt d'envie de la voir. Alors un jour, Arthur accepte de l'emmener à l'école. Mais ce matin-là, catastrophe : Nennette a disparu !;"";"";"";Oui
843;800.000;Lire des histoires;Romans et nouvelles;Le garçon qui ne s'interessait qu'aux filles;"";"";Willer (Ellen);"";"";Ecole des  loisirs;"";"";Livre;histoire d'enfants;Cycle 2;"";"";"";"";Oui
844;800.000;Lire des histoires;Romans et nouvelles;L'Ogre maigre et l’Enfant fou;"";2211066224;Cherer (Sophie);Deiss (Véronique);2002;Ecole des loisirs;Neuf;"";Livre;écologie;Cycle 3;Il fut un temps, béni des Dieux, où les Ogres élevaient les enfants dans les prés, les chouchoutaient, les bichonnaient, leurs faisaient de bons petits plats. Il fut un temps, béni des Dieux toujours, où la chair des enfants était, donc, tendre et savoureuse. Mais ce temps, oublié des Dieux, toucha à sa fin : le progrès pointa le bout de son nez, avec ses cages, ses machines et ses élevages en batterie. Ce fut un temps, osons le dire, ca-ta-stro-phique.;78 pages;"";"";Oui
845;800.000;Lire des histoires;Romans et nouvelles;Hong Kong story;"";"";Thiollier (Anne);Thiollier (Anne);"";Casterman;Dix & plus;"";Livre;aventures;Cycle 3;"";"";"";"";Oui
846;800.000;Lire des histoires;Album;L'histoire impossible;"";2211079547;Ubac (Claire);"";2005;Ecole des loisirs;Neuf;"";Livre;histoire d'enfants, humour;Cycle 3;Ils sont deux intrus sur l'île du Drôle, deux indésirables, traités en esclaves. Snejna, dite "la belette", une vieille femme, seule rescapée d'un naufrage, il y a trente ans. Balthazar, le bâtard d'une bonne famille de l'île, mère morte, père inconnu. Ils se sont reconnus, approchés, apprivoisés. Les habitants de l'île détestent la mer. Snejna et Balthazar, eux, la regardent. Elle rêve de repartir de cette foutingaille de terre! Il rêve d'être ailleurs, à défaut de savoir la vérité. Un lendemain de tempête, à l'aube, la surprise qu'ils attendaient est là. Il y a un bateau dans l'anse. Son pavillon ? La tête de mort aux tibias croisés  sur fond noir.;194 pages;"";"";Oui
847;800.000;Lire des histoires;Romans et nouvelles;Tu es une légende;"";"";Winton (Tim);"";"";Ecole des  loisirs;Medium;"";Livre;histoire d'enfants;Cycle 3;"";"";"";"";Oui
848;800.000;Lire des histoires;Romans et nouvelles;Zappa;Mémoires d'un âne;221105708X;Valckx (Catharina);"";2000;Ecole des loisirs;Mouche;"";Livre;histoire d'animaux;Cycle 2;Zappa n'est pas le plus intelligent des ânes. Il est même carrément bête. Il n'est pas l'âne le plus bête de sa famille, mais bon. Sa maman lui a tout de même conseillé de se servir le moins possible de son cerveau. Le problème, c'est qu'il ne l'écoute pas. Il veut à tout prix prouver qu'il est intelligent. Et ça le conduit à faire des bêtises épouvantables, plus catastrophiques les unes que les autres. D'ailleurs, si ça continue, Juliette, sa charmante voisine, et l'ours Marlof, qui a plutôt bon caractère, ne voudront plus jamais entendre parler de lui !;78 p;"";"";Oui
849;800.000;Lire des histoires;Romans et nouvelles;Emilie;"";"";Wall (Charline);"";"";Les éditions de la Bruyère;"";"";Livre;histoire d'enfants;Cycle 2;"";"";"";"";Oui
850;800.000;Lire des histoires;Romans et nouvelles;La princesse qui voulait dormir cent ans;"";"";Coré (Pierre);Oubrerie (Clément);"";Hachette;Cadou;"";Livre;histoire d'enfants;Cycle 2;"";"";"";"";Oui
860;800.000;Lire des histoires;Contes;Conte dû à la plume de Mlle Alice Rainbird;"";"";Dickens (Charles);Hirn (Laurent);"";Larousse;Classiques junior;"";Livre;conte;Cycle 2;"";"";"";"";Oui
861;800.000;Lire des histoires;Romans et nouvelles;Bal catastrophe chez Cendrillon;"";"";Seigneur (Olivier);Durual (Christophe);"";Hachette;Le livre de poche jeunesse;"";Livre;merveilleux;Cycle 2;"";"";"";"";Oui
862;800.000;Lire des histoires;Romans et nouvelles;Le mangeur de lumière;"";"";Sanvoisin (Eric);Payet (Jean-Pierre);"";Casterman;Dix & plus;"";Livre;aventures;Cycle 2;"";"";"";"";Oui
863;800.000;Lire des histoires;Romans et nouvelles;Mademoiselle Nuit;Et autres histoires;"";Joubert (Jean);"";"";Ecole des  loisirs;"";"";Livre;histoire d'enfants;Cycle 2;"";"";"";"";Oui
864;800.000;Lire des histoires;Romans et nouvelles;Superscope n°4;"";"";"";"";2004;Nathan;Superscope;3;Périodique;histoire d'enfants;Cycle 2;"";"";"";"";Oui
865;800.000;Lire des histoires;Romans et nouvelles;Sans sucre, merci;"";"";Murail (Marie-Aude);"";"";Ecole des  loisirs;Medium;"";Livre;histoire d'enfants;Cycle 2;"";"";"";"";Oui
866;800.000;Lire des histoires;Album;L'abominable histoire de la poule;"";2211052819;Oster (Christian);Mets (Alan);1999;Ecole des loisirs;Mouche;"";Livre;histoire d'animaux;Cycle 2;Normalement, les poules mènent une vie assez simple. Elles pondent des oeufs, elles caquètent, elles se couchent tôt et puis voilà. Mais cette poule-là n'était pas comme les autres. D'abord, elle réfléchissait. Beaucoup. Elle se posait des tas de questions très sérieuses et elle aimait en discuter avec ses amis de la ferme, le cochon, la cane, le mouton... Ce n'était pas la seule particularité de cette poule. Elle avait aussi un secret, que la plupart de ses amis ignoraient. Un secret parfaitement abominable.;"";"";"";Oui
867;800.000;Lire des histoires;Romans et nouvelles;L'esprit de la forêt;"";2211070914;Moka;"";2003;Ecole des loisirs;Neuf;"";Livre;histoire d'animaux;Cycle 3;La Tronche, Crêt Pourri, la forêt du Massacre... On ne peut pas dire que les noms de lieux soient folichons dans ce coin du jura où Rose est forcée de passer trois semaines de vacances chez sa tante, à la place du stage de poney dont elle avait rêvé. Bien sûr, il y a Ludovic, son cousin, dix ans comme elle. Ils pourraient s'amuser ensemble. Mais Rose ne peut pas le souffrir depuis qu'il a dévissé la tête de sa poupée. Et puis il est maussade en ce moment : il s'est foulé le poignet en tombant d'un arbre. Dommage. Car Ludovic a une chambre géniale. C'est le grenier tout entier, aménagé en appartement, avec des bibliothèques partout. Il a interdit à Rose d'y poser ne serait-ce qu'un doigt de pied. Et Rose qui adore lire! Aussi, le matin où Ludovic part en exploration pour la journée, Rose désobéit. Dans le grenier interdit, elle découvre que tous les livres de son cousin traitent du même sujet : les dragons suisses. Rose se sent pousser des ailes et se fixe un objectif digne des plus grands explorateurs: la chasse au secret de son cousin !   ;153 pages;"";"";Oui
868;800.000;Lire des histoires;Romans et nouvelles;Mon papa, le roi;"";2227721898;Amelin (Michel);Camil (Colette);1995;Bayard poche;Les belles histoires;75;Livre;histoire d'enfants;Cycle 3;Mignonnette est une princesse vraiment gâtée. Elle a tout ce qui lui plaît : une chambre du plus beau rose, vingt-six chats persans, un doudou de nuage, des biscuits miam-miam... Pourtant, quelque chose lui manque : son papa le roi est si occupé et si protégé par tous ses ministres et ses soldats qu'elle ne peut jamais être avec lui. Jamais ?  C'est ce qu'on va voir ! Car ce matin, Mignonnette est bien décidée à changer tout ça.;48 p;"";"";Oui
869;800.000;Lire des histoires;Romans et nouvelles;Caroline et les grandes personnes;"";2040100717;Prou (Suzanne);Devauchelle (Patrick);1978;Bordas;Aux quatre coins du temps;1;Livre;histoire d'enfants, relation p;Cycle 3;"";"";"";"";Oui
870;800.000;Lire des histoires;Romans et nouvelles;Crime posthume;"";"";Benett (Jay);"";"";Hatier;Les maîtres de l'aventure;"";Livre;aventures;Cycle 3;"";"";"";"";Oui
871;800.000;Lire des histoires;Romans et nouvelles;Les défis d'Ortogue;"";"";Craipeau (Jean-Loup);Daniel (François);"";Flammarion;Castor poche;"";Périodique;histoire d'enfants;Cycle 3;"";"";"";"";Oui
872;800.000;Lire des histoires;Romans et nouvelles;Janus le chat des bois;"";"";Chapouton (Anne-Marie);Trébern (Alain);"";Nathan;Nathan/Lecture;"";Livre;histoire d'animaux;Cycle 3;"";"";"";"";Oui
873;800.000;Lire des histoires;Romans et nouvelles;Crime parfait au salon du livre;"";"";"";"";"";Edit-press;"";"";Livre;policier;Cycle 3;"";"";"";"";Oui
874;800.000;Lire des histoires;Romans et nouvelles;Les casse-pieds et les fêlés;"";"";Stark (Ulf);"";"";Flammarion;Castor poche;"";Livre;histoire d'enfants;Cycle 3;"";"";"";"";Oui
875;500.000;Observer la nature - Mathématiques;Romans et nouvelles;Dis-moi comment ça marche;"";"";Berton (Georges);Mattrat (Jean-Claude);"";Editions buissonnières;Ours de poche;"";Livre;zoologie;Cycle 3;"";"";"";"";Oui
876;800.000;Lire des histoires;Album;Pincemi, Pincemoi et la sorcière;"";2070505642;Bichonnier (Henriette);Pef;1996;Gallimard;Folio benjamin;"";Livre;histoire d'enfants;Cycle 3;Pincemi et Pincemoi sont tellement diaboliques et infernaux que leurs parents souhaitent les voir enlevés par une sorcière. Et d'ailleurs le jour où cela se produit, la sorcière passe un mauvais quart d'heure. Une histoire pleine de farces et attrapes pour les enfants qui aiment rire. ;32 p;"";"";Oui
877;800.000;Lire des histoires;Romans et nouvelles;Chilly Billy;Le petit bonhomme du frigo;208161832X;Mayle (Peter);Gibert (Bruno);1985;Flammarion;Castor poche;121;Livre;humour, imaginaire;Cycle 3;Il n'est pas plus gros qu'une noisette, et se cache pour ne pas être vu. Pourtant que ferions-nous sans lui ? Qui allume le frigo lorsque l'on ouvre la porte ? Chilly Billy, tout le monde sait cela ! Mais, à part ce petit détail, que savons-nous de sa vie, de son travail, de ses goûts, de ses joies et de ses soucis quotidiens ? Un petit livre qui nous apprend tout sur ce discret personnage. Impossible, après avoir lu ces pages, d'ouvrir le frigo sans avoir pour Chilly Billy une pensée émue.;"";"";"";Oui
878;800.000;Lire des histoires;Album;Ranelot et Bufolet;"";2211016545;Lobel (Arnold);"";1993;Ecole des loisirs;Lutin poche;"";Livre;histoire d'animaux;Cycle 1;Des histoires teintées d'humour et d'amitié. Texte aéré. Phrases courtes.;"";"";"";Oui
881;800.000;Lire des histoires;Contes;La danse du loup;"";"";Mosconi (Patrick);Leclercq (Pierre-Olivier);"";Albin Michel;Petits contes de sagesse;"";Livre;conte;Cycle 1;"";"";"";"";Oui
882;800.000;Lire des histoires;Contes;Contes;"";2211049281;Perrault (Charles);Doré (Gustave);1993;Ecole des loisirs;Neuf en poche;"";Livre;conte;Cycle 1;"Comme tout ce qui relève du grand art, les contes de fées séduisent et instruisent tout à la fois. Ils doivent à leur génie particulier de remplir ce double rôle dans des termes qui s'adressent directement aux enfants". Cette édition intégrale des Contes en prose reproduit le texte original publié à Paris en 1697 (Le petit Chaperon Rouge, La Barbe-Bleue, La Belle au bois dormant, Peau d'Ane, Les fées, Le Chat botté, Riquet à la Houppe, Le petit Poucet et Cendrillon). Nous avons, par contre, supprimé les petites moralités finales en vers, suivant en cela l'édition de Hetzel et jugeant avec Sainte-Beuve que ces moralités "ne tenaient au récit que si l'on voulait et qu'elles en étaient la date." Les illustrations de Gustave Doré ont été réalisées pour l'édition de Jules Hetzel, 1860. L'édition en poche nous a permis de mettre tous les dessins en regard du texte et d'éliminer le petit inconvénient de non-concordance de l'édition originale.;"";"";"";Oui
883;800.000;Lire des histoires;Contes;Le petit chaperon rouge;"";"";"";Stevenson (Peter);"";Ladybird;Mes contes préférés;"";Livre;conte;Cycle 1;"";"";"";"";Oui
884;800.000;Lire des histoires;Poèmes et comptines;Rhapsodie pour un éveil;"";"";Achard (Gérard);"";"";Arlequin;"";"";Livre;merveilleux;Cycle 1;"";"";"";"";Oui
885;800.000;Lire des histoires;Romans et nouvelles;La petite sirène;"";2038702454;Andersen (Hans Christian);Dufour (Sylvette);1987;Larousse;Classiques junior;"";Livre;merveilleux, océan : milieu;Cycle 3;"";"";"";"";Oui
886;800.000;Lire des histoires;Romans et nouvelles;Robin des bois;"";"";Thévenin (R.);Calvo;"";Gp;Rouge et or;"";Livre;aventures;Cycle 3;"";"";"";"";Oui
887;800.000;Lire des histoires;Romans et nouvelles;Les contes de la lune bleue;"";"";Angot (Michèle);Chartrain (Marie);"";Magnard;Fantasia;"";Livre;merveilleux;Cycle 3;"";"";"";"";Oui
888;800.000;Lire des histoires;Romans et nouvelles;Natsarkékia et autres contes géorgiens;"";"";Davrichewy (Kéthévane);Matouk (Olivier);"";Ecole des  loisirs;Medium;"";Livre;aventures;Cycle 3;"";"";"";"";Oui
889;800.000;Lire des histoires;Romans et nouvelles;Un de Winram;"";"";Thorau (Gabrielle);"";"";Ecole des  loisirs;Medium;"";Livre;histoire d'enfants;Cycle 3;"";"";"";"";Oui
890;800.000;Lire des histoires;Contes;La dernière classe;Et autres contes du lundi;"";Daudet (Alphonse);Mignon (Philippe);"";Gallimard;Folio junior;"";Livre;conte;Cycle 3;"";"";"";"";Oui
892;800.000;Lire des histoires;Contes;Contes d'Andersen;"";"";"";"";"";Nathan;"Grand A";"";Livre;conte;Cycle 3;"";"";"";"";Oui
893;800.000;Lire des histoires;Romans et nouvelles;Alice au pays des merveilles;"";2070331172;Carroll (Lewis);Lins (Rico);1979;Gallimard;Folio junior;"";Livre;merveilleux, aventures;Cycle 3;Que peut bien faire une petite fille qui s'ennuie, assise en bordure d'un chemin de forêt ? C'est la question qu'Alice se pose quand elle voit soudain le lapin blanc passer en trombe devant elle, parlant tout seul et fourrageant dans la poche de son gilet ! Curieuse, elle s'élance à sa poursuite, saute dans son terrier, et tombe, tombe, tombe... jusqu'au centre de la terre ! La voici au pays des merveilles, un pays extravagant où l'on devient géant ou nain sans savoir comment, où les lièvres vous posent des devinettes saugrenues, où la reine de coeur joue au croquet et vous fait couper la tête pour un oui ou pour un non ! Toutes ces créatures fantastiques vont entraîner Alice dans un monde de prodiges et de sortilèges.;192 p;"";"";Oui
894;800.000;Lire des histoires;Poèmes et comptines;Choix de fables;"";"";La Fontaine (Jean);Doré (Gustave);"";Gallimard;Folio junior;"";Livre;poésie;Cycle 3;"";"";"";"";Oui
895;800.000;Lire des histoires;Romans et nouvelles;Les pierres du silence;"";"";Vénuleth (Jacques);Diet (Robert);"";Hachette;Livre de poche jeunesse;"";Livre;histoire d'enfants;Cycle 3;"";"";"";"";Oui
896;800.000;Lire des histoires;Romans et nouvelles;Un éléphant ça compte énormément;"";2-07-039046-2;Heine (Helme);Heine (Helme);1986;Gallimard;Folio benjamin;"";Livre;roman;Cycle 3;"";64 p;"";"";Oui
897;800.000;Lire des histoires;Romans et nouvelles;Les pistolets de sans-atout;"";"";Boileau-Narcejac;Ceppi (Daniel);"";Gallimard;Folio junior;"";Livre;nouvelles;Cycle 3;"";"";"";"";Oui
898;800.000;Lire des histoires;Romans et nouvelles;La montagne a disparu;"";"";Saint-Dizier (Marie);"";"";Hachette;Bibliothèque verte;"";Livre;histoire d'enfants;Cycle 3;"";"";"";"";Oui
899;800.000;Lire des histoires;Romans et nouvelles;Une brique sur la tête de Suzanne;"";221101349X;Cherer (Sophie);Cherer (Sophie);1993;Ecole des loisirs;Neuf en poche;"";Livre;histoire d'enfants;Cours moyen;Bon-Papa est mort. Bon-Papa qui appelait Suzanne Cocotte, qui faisait des blagues vraiment pas drôles avec la mousse de sa bière, qui avait une chemise à carreaux trempée de sueur, qui dégommait les taupes au fusil, et qui disait : "Voyons, on ne pleure pas pour un hamster." Bon-Papa à qui Suzanne tirait la langue, intérieurement, plusieurs fois par jour, parce qu'elle en avait marre de ses plaisanteries, qu'elle était contre l'assassinat des taupes, et qu'elle avait beaucoup pleuré à la mort de son hamster.  Bon-Papa est mort dans sa chemise à carreaux, en tondant la pelouse avec Suzanne. La maison est pleine de larmes, de coups de téléphone, d'hommes en chaussures noires, et de silences inquiétants. Dans la cour, il y a une grande malle noire. Suzanne se pose des questions, elle pense à Bon-Papa et elle attend l'arrivée de l'oncle Henri.;20 cm;"";"";Oui
1201;800.000;Lire des histoires;Romans et nouvelles;Les enfants de la faim;"";"";Conlon-McKenna (Marita);Hyman (Miles);"";Hachette;Aventure verte;"";Livre;histoire d'enfants;Cours moyen;"";"";"";"";Oui
1202;800.000;Lire des histoires;Romans et nouvelles;L'appel de la forêt;"";"";London (Jack);"";"";Gallimard;Folio junior;"";Livre;histoire d'animaux;Cours moyen;"";"";"";"";Oui
1203;800.000;Lire des histoires;Romans et nouvelles;Café au lait;"";"";Kaye (Géraldine);Moreau (Françoise);"";Hachette;Jeunesse;"";Livre;histoire d'enfants;Cours moyen;"";"";"";"";Oui
1204;"";Lire des histoires;Romans et nouvelles;J'aime lire n° 205;"";"";"";"";"";Bayard;"";205;Périodique;rien;Cours moyen;Le maître d'école a cassé sa tirelire pour aider ses élèves à acheter un cheval. C'est lui qui a eu cette idée. C'est un maître d'école très gentil et spécialement têtu, et heureusement qu'il y a un maître d'école gentil et têtu dans cette histoire. Le cheval s'appelle Bir-Hakeim. Il est sorti de son box et il a souri aux enfants. Les enfants étaient ravis. Ils ne pouvaient pas savoir qu'un cheval qui sourit est un cheval gravement malade. Le maître a appelé le vétérinaire, et heureusement qu'il y a un vétérinaire dans cette histoire. Un livre pour les enfants qui aiment déjà lire tout seuls.;"";"";"";Oui
