dc.title,dc.identifier,dc.creator,dc.contributor,dc.subject,dc.description,dc.publisher,dc.date,dc.type,dc.format,dc.source,dc.relation,dc.coverage,dc.rights,item.id,item.callNumber,item.acquisitionDate,item.fundingSource
Le cadeau d'Arthur,2211019145,"Sancy, Guillaume de",,histoire d'enfants|sentiment,"Nennette est une tortue qui a failli être un poisson rouge, le dixième poisson rouge d'Arthur. Mais cette fois, Papa a enfin fait preuve d'imagination pour l'anniversaire de son fils. Nennette est vraiment une tortue exceptionnelle. Arthur dort avec elle, fait ses devoirs avec elle, et chaque matin, lui brosse sa carapace avec sa brosse à dents. Ils se comprennent rien qu'en se regardant. Dans la classe d'Arthur, on ne parle plus que de Nennette. Même la maîtresse meurt d'envie de la voir. Alors un jour, Arthur accepte de l'emmener à l'école. Mais ce matin-là, catastrophe : Nennette a disparu !",Ecole des loisirs,1992,Text,,Mouche,,Cycle 2,Loanable,842,800.000,,
Le garçon qui ne s'interessait qu'aux filles,,"Willer, Ellen",,histoire d'enfants,,Ecole des  loisirs,,Text,,,,Cycle 2,Loanable,843,800.000,,
L'Ogre maigre et l’Enfant fou,2211066224,"Cherer, Sophie","Deiss, Véronique",écologie,"Il fut un temps, béni des Dieux, où les Ogres élevaient les enfants dans les prés, les chouchoutaient, les bichonnaient, leurs faisaient de bons petits plats. Il fut un temps, béni des Dieux toujours, où la chair des enfants était, donc, tendre et savoureuse. Mais ce temps, oublié des Dieux, toucha à sa fin : le progrès pointa le bout de son nez, avec ses cages, ses machines et ses élevages en batterie. Ce fut un temps, osons le dire, ca-ta-stro-phique.",Ecole des loisirs,2002,Text,78 pages,Neuf,,Cycle 3,Loanable,844,800.000,,
Hong Kong story,,"Thiollier, Anne","Thiollier, Anne",aventures,,Casterman,,Text,,Dix & plus,,Cycle 3,Loanable,845,800.000,,
L'histoire impossible,2211079547,"Ubac, Claire",,histoire d'enfants|humour,"Ils sont deux intrus sur l'île du Drôle, deux indésirables, traités en esclaves. Snejna, dite ""la belette"", une vieille femme, seule rescapée d'un naufrage, il y a trente ans. Balthazar, le bâtard d'une bonne famille de l'île, mère morte, père inconnu. Ils se sont reconnus, approchés, apprivoisés. Les habitants de l'île détestent la mer. Snejna et Balthazar, eux, la regardent. Elle rêve de repartir de cette foutingaille de terre! Il rêve d'être ailleurs, à défaut de savoir la vérité. Un lendemain de tempête, à l'aube, la surprise qu'ils attendaient est là. Il y a un bateau dans l'anse. Son pavillon ? La tête de mort aux tibias croisés  sur fond noir.",Ecole des loisirs,2005,Text,194 pages,Neuf,,Cycle 3,Loanable,846,800.000,,
Tu es une légende,,"Winton, Tim",,histoire d'enfants,,Ecole des  loisirs,,Text,,Medium,,Cycle 3,Loanable,847,800.000,,
Zappa: Mémoires d'un âne,221105708X,"Valckx, Catharina",,histoire d'animaux,"Zappa n'est pas le plus intelligent des ânes. Il est même carrément bête. Il n'est pas l'âne le plus bête de sa famille, mais bon. Sa maman lui a tout de même conseillé de se servir le moins possible de son cerveau. Le problème, c'est qu'il ne l'écoute pas. Il veut à tout prix prouver qu'il est intelligent. Et ça le conduit à faire des bêtises épouvantables, plus catastrophiques les unes que les autres. D'ailleurs, si ça continue, Juliette, sa charmante voisine, et l'ours Marlof, qui a plutôt bon caractère, ne voudront plus jamais entendre parler de lui !",Ecole des loisirs,2000,Text,78 pages,Mouche,,Cycle 2,Loanable,848,800.000,,
Emilie,,"Wall, Charline",,histoire d'enfants,,Les éditions de la Bruyère,,Text,,,,Cycle 2,Loanable,849,800.000,,
La princesse qui voulait dormir cent ans,,"Coré, Pierre","Oubrerie, Clément",histoire d'enfants,,Hachette,,Text,,Cadou,,Cycle 2,Loanable,850,800.000,,
Conte dû à la plume de Mlle Alice Rainbird,,"Dickens, Charles","Hirn, Laurent",conte,,Larousse,,Text,,Classiques junior,,Cycle 2,Loanable,860,800.000,,
Bal catastrophe chez Cendrillon,,"Seigneur, Olivier","Durual, Christophe",merveilleux,,Hachette,,Text,,Le livre de poche jeunesse,,Cycle 2,Loanable,861,800.000,,
Le mangeur de lumière,,"Sanvoisin, Eric","Payet, Jean-Pierre",aventures,,Casterman,,Text,,Dix & plus,,Cycle 2,Loanable,862,800.000,,
Mademoiselle Nuit: Et autres histoires,,"Joubert, Jean",,histoire d'enfants,,Ecole des  loisirs,,Text,,,,Cycle 2,Loanable,863,800.000,,
Superscope n°4,,,,histoire d'enfants,,Nathan,2004,Text;Periodical,,Superscope,3,Cycle 2,Loanable,864,800.000,,
"Sans sucre, merci",,"Murail, Marie-Aude",,histoire d'enfants,,Ecole des  loisirs,,Text,,Medium,,Cycle 2,Loanable,865,800.000,,
L'abominable histoire de la poule,2211052819,"Oster, Christian","Mets, Alan",histoire d'animaux,"Normalement, les poules mènent une vie assez simple. Elles pondent des oeufs, elles caquètent, elles se couchent tôt et puis voilà. Mais cette poule-là n'était pas comme les autres. D'abord, elle réfléchissait. Beaucoup. Elle se posait des tas de questions très sérieuses et elle aimait en discuter avec ses amis de la ferme, le cochon, la cane, le mouton... Ce n'était pas la seule particularité de cette poule. Elle avait aussi un secret, que la plupart de ses amis ignoraient. Un secret parfaitement abominable.",Ecole des loisirs,1999,Text,,Mouche,,Cycle 2,Loanable,866,800.000,,
L'esprit de la forêt,2211070914,Moka,,histoire d'animaux,"La Tronche, Crêt Pourri, la forêt du Massacre... On ne peut pas dire que les noms de lieux soient folichons dans ce coin du jura où Rose est forcée de passer trois semaines de vacances chez sa tante, à la place du stage de poney dont elle avait rêvé. Bien sûr, il y a Ludovic, son cousin, dix ans comme elle. Ils pourraient s'amuser ensemble. Mais Rose ne peut pas le souffrir depuis qu'il a dévissé la tête de sa poupée. Et puis il est maussade en ce moment : il s'est foulé le poignet en tombant d'un arbre. Dommage. Car Ludovic a une chambre géniale. C'est le grenier tout entier, aménagé en appartement, avec des bibliothèques partout. Il a interdit à Rose d'y poser ne serait-ce qu'un doigt de pied. Et Rose qui adore lire! Aussi, le matin où Ludovic part en exploration pour la journée, Rose désobéit. Dans le grenier interdit, elle découvre que tous les livres de son cousin traitent du même sujet : les dragons suisses. Rose se sent pousser des ailes et se fixe un objectif digne des plus grands explorateurs: la chasse au secret de son cousin !",Ecole des loisirs,2003,Text,153 pages,Neuf,,Cycle 3,Loanable,867,800.000,,
"Mon papa, le roi",2227721898,"Amelin, Michel","Camil, Colette",histoire d'enfants,"Mignonnette est une princesse vraiment gâtée. Elle a tout ce qui lui plaît : une chambre du plus beau rose, vingt-six chats persans, un doudou de nuage, des biscuits miam-miam... Pourtant, quelque chose lui manque : son papa le roi est si occupé et si protégé par tous ses ministres et ses soldats qu'elle ne peut jamais être avec lui. Jamais ?  C'est ce qu'on va voir ! Car ce matin, Mignonnette est bien décidée à changer tout ça.",Bayard poche,1995,Text,48 pages,Les belles histoires,75,Cycle 3,Loanable,868,800.000,,
Caroline et les grandes personnes,2040100717,"Prou, Suzanne","Devauchelle, Patrick",histoire d'enfants|relation p,,Bordas,1978,Text,,Aux quatre coins du temps,1,Cycle 3,Loanable,869,800.000,,
Crime posthume,,"Benett, Jay",,aventures,,Hatier,,Text,,Les maîtres de l'aventure,,Cycle 3,Loanable,870,800.000,,
Les défis d'Ortogue,,"Craipeau, Jean-Loup","Daniel, François",histoire d'enfants,,Flammarion,,Text;Periodical,,Castor poche,,Cycle 3,Loanable,871,800.000,,
Janus le chat des bois,,"Chapouton, Anne-Marie","Trébern, Alain",histoire d'animaux,,Nathan,,Text,,Nathan/Lecture,,Cycle 3,Loanable,872,800.000,,
Crime parfait au salon du livre,,,,policier,,Edit-press,,Text,,,,Cycle 3,Loanable,873,800.000,,
Les casse-pieds et les fêlés,,"Stark, Ulf",,histoire d'enfants,,Flammarion,,Text,,Castor poche,,Cycle 3,Loanable,874,800.000,,
Dis-moi comment ça marche,,"Berton, Georges","Mattrat, Jean-Claude",zoologie,,Editions buissonnières,,Text,,Ours de poche,,Cycle 3,Loanable,875,500.000,,
"Pincemi, Pincemoi et la sorcière",2070505642,"Bichonnier, Henriette",Pef,histoire d'enfants,"Pincemi et Pincemoi sont tellement diaboliques et infernaux que leurs parents souhaitent les voir enlevés par une sorcière. Et d'ailleurs le jour où cela se produit, la sorcière passe un mauvais quart d'heure. Une histoire pleine de farces et attrapes pour les enfants qui aiment rire.",Gallimard,1996,Text,32 pages,Folio benjamin,,Cycle 3,Loanable,876,800.000,,
Chilly Billy: Le petit bonhomme du frigo,208161832X,"Mayle, Peter","Gibert, Bruno",humour|imaginaire,"Il n'est pas plus gros qu'une noisette, et se cache pour ne pas être vu. Pourtant que ferions-nous sans lui ? Qui allume le frigo lorsque l'on ouvre la porte ? Chilly Billy, tout le monde sait cela ! Mais, à part ce petit détail, que savons-nous de sa vie, de son travail, de ses goûts, de ses joies et de ses soucis quotidiens ? Un petit livre qui nous apprend tout sur ce discret personnage. Impossible, après avoir lu ces pages, d'ouvrir le frigo sans avoir pour Chilly Billy une pensée émue.",Flammarion,1985,Text,,Castor poche,121,Cycle 3,Loanable,877,800.000,,
Ranelot et Bufolet,2211016545,"Lobel, Arnold",,histoire d'animaux,Des histoires teintées d'humour et d'amitié. Texte aéré. Phrases courtes.,Ecole des loisirs,1993,Text,,Lutin poche,,Cycle 1,Loanable,878,800.000,,
La danse du loup,,"Mosconi, Patrick","Leclercq, Pierre-Olivier",conte,,Albin Michel,,Text,,Petits contes de sagesse,,Cycle 1,Loanable,881,800.000,,
Contes,2211049281,"Perrault, Charles","Doré, Gustave",conte,"Comme tout ce qui relève du grand art, les contes de fées séduisent et instruisent tout à la fois. Ils doivent à leur génie particulier de remplir ce double rôle dans des termes qui s'adressent directement aux enfants. Cette édition intégrale des Contes en prose reproduit le texte original publié à Paris en 1697 (Le petit Chaperon Rouge, La Barbe-Bleue, La Belle au bois dormant, Peau d'Ane, Les fées, Le Chat botté, Riquet à la Houppe, Le petit Poucet et Cendrillon). Nous avons, par contre, supprimé les petites moralités finales en vers, suivant en cela l'édition de Hetzel et jugeant avec Sainte-Beuve que ces moralités ""ne tenaient au récit que si l'on voulait et qu'elles en étaient la date."" Les illustrations de Gustave Doré ont été réalisées pour l'édition de Jules Hetzel, 1860. L'édition en poche nous a permis de mettre tous les dessins en regard du texte et d'éliminer le petit inconvénient de non-concordance de l'édition originale.",Ecole des loisirs,1993,Text,,Neuf en poche,,Cycle 1,Loanable,882,800.000,,
Le petit chaperon rouge,,,"Stevenson, Peter",conte,,Ladybird,,Text,,Mes contes préférés,,Cycle 1,Loanable,883,800.000,,
Rhapsodie pour un éveil,,"Achard, Gérard",,merveilleux,,Arlequin,,Text,,,,Cycle 1,Loanable,884,800.000,,
La petite sirène,2038702454,"Andersen, Hans Christian","Dufour, Sylvette",merveilleux|océan : milieu,,Larousse,1987,Text,,Classiques junior,,Cycle 3,Loanable,885,800.000,,
Robin des bois,,"Thévenin, R.",Calvo,aventures,,Gp,,Text,,Rouge et or,,Cycle 3,Loanable,886,800.000,,
Les contes de la lune bleue,,"Angot, Michèle","Chartrain, Marie",merveilleux,,Magnard,,Text,,Fantasia,,Cycle 3,Loanable,887,800.000,,
Natsarkékia et autres contes géorgiens,,"Davrichewy, Kéthévane","Matouk, Olivier",aventures,,Ecole des  loisirs,,Text,,Medium,,Cycle 3,Loanable,888,800.000,,
Un de Winram,,"Thorau, Gabrielle",,histoire d'enfants,,Ecole des  loisirs,,Text,,Medium,,Cycle 3,Loanable,889,800.000,,
La dernière classe: Et autres contes du lundi,,"Daudet, Alphonse","Mignon, Philippe",conte,,Gallimard,,Text,,Folio junior,,Cycle 3,Loanable,890,800.000,,
Contes d'Andersen,,,,conte,,Nathan,,Text,,Grand A,,Cycle 3,Loanable,892,800.000,,
Alice au pays des merveilles,2070331172,"Carroll, Lewis","Lins, Rico",merveilleux|aventures,"Que peut bien faire une petite fille qui s'ennuie, assise en bordure d'un chemin de forêt ? C'est la question qu'Alice se pose quand elle voit soudain le lapin blanc passer en trombe devant elle, parlant tout seul et fourrageant dans la poche de son gilet ! Curieuse, elle s'élance à sa poursuite, saute dans son terrier, et tombe, tombe, tombe... jusqu'au centre de la terre ! La voici au pays des merveilles, un pays extravagant où l'on devient géant ou nain sans savoir comment, où les lièvres vous posent des devinettes saugrenues, où la reine de coeur joue au croquet et vous fait couper la tête pour un oui ou pour un non ! Toutes ces créatures fantastiques vont entraîner Alice dans un monde de prodiges et de sortilèges.",Gallimard,1979,Text,192 pages,Folio junior,,Cycle 3,Loanable,893,800.000,,
Choix de fables,,"La Fontaine, Jean","Doré, Gustave",poésie,,Gallimard,,Text,,Folio junior,,Cycle 3,Loanable,894,800.000,,
Les pierres du silence,,"Vénuleth, Jacques","Diet, Robert",histoire d'enfants,,Hachette,,Text,,Livre de poche jeunesse,,Cycle 3,Loanable,895,800.000,,
Un éléphant ça compte énormément,2-07-039046-2,"Heine, Helme","Heine, Helme",roman,,Gallimard,1986,Text,64 pages,Folio benjamin,,Cycle 3,Loanable,896,800.000,,
Les pistolets de sans-atout,,Boileau-Narcejac,"Ceppi, Daniel",nouvelles,,Gallimard,,Text,,Folio junior,,Cycle 3,Loanable,897,800.000,,
La montagne a disparu,,"Saint-Dizier, Marie",,histoire d'enfants,,Hachette,,Text,,Bibliothèque verte,,Cycle 3,Loanable,898,800.000,,
Une brique sur la tête de Suzanne,221101349X,"Cherer, Sophie","Cherer, Sophie",histoire d'enfants,"Bon-Papa est mort. Bon-Papa qui appelait Suzanne Cocotte, qui faisait des blagues vraiment pas drôles avec la mousse de sa bière, qui avait une chemise à carreaux trempée de sueur, qui dégommait les taupes au fusil, et qui disait : ""Voyons, on ne pleure pas pour un hamster."" Bon-Papa à qui Suzanne tirait la langue, intérieurement, plusieurs fois par jour, parce qu'elle en avait marre de ses plaisanteries, qu'elle était contre l'assassinat des taupes, et qu'elle avait beaucoup pleuré à la mort de son hamster.  Bon-Papa est mort dans sa chemise à carreaux, en tondant la pelouse avec Suzanne. La maison est pleine de larmes, de coups de téléphone, d'hommes en chaussures noires, et de silences inquiétants. Dans la cour, il y a une grande malle noire. Suzanne se pose des questions, elle pense à Bon-Papa et elle attend l'arrivée de l'oncle Henri.",Ecole des loisirs,1993,Text,20 cm,Neuf en poche,,Cours moyen,Loanable,899,800.000,,
Les enfants de la faim,,"Conlon-McKenna, Marita","Hyman, Miles",histoire d'enfants,,Hachette,,Text,,Aventure verte,,Cours moyen,Loanable,1201,800.000,,
L'appel de la forêt,,"London, Jack",,histoire d'animaux,,Gallimard,,Text,,Folio junior,,Cours moyen,Loanable,1202,800.000,,
Café au lait,,"Kaye, Géraldine","Moreau, Françoise",histoire d'enfants,,Hachette,,Text,,Jeunesse,,Cours moyen,Loanable,1203,800.000,,
J'aime lire n° 205,,,,rien,"Le maître d'école a cassé sa tirelire pour aider ses élèves à acheter un cheval. C'est lui qui a eu cette idée. C'est un maître d'école très gentil et spécialement têtu, et heureusement qu'il y a un maître d'école gentil et têtu dans cette histoire. Le cheval s'appelle Bir-Hakeim. Il est sorti de son box et il a souri aux enfants. Les enfants étaient ravis. Ils ne pouvaient pas savoir qu'un cheval qui sourit est un cheval gravement malade. Le maître a appelé le vétérinaire, et heureusement qu'il y a un vétérinaire dans cette histoire. Un livre pour les enfants qui aiment déjà lire tout seuls.",Bayard,,Text;Periodical,,,205,Cours moyen,Loanable,1204,,,
La santé sans télé,2211076912,"Cherer, Sophie","Deiss, Véronique",télévision : spectacle,"Depuis le 26 décembre 1999, jour de la tempête du siècle, il n’y a plus de télé chez Mathilde. L’ouragan a arraché l’antenne du toit de sa maison et ses parents ont décidé qu’ils vivaient bien mieux sans cet objet envahissant. Hélas ! Or voilà qu’un matin Mathilde trouve une télévision sur le trottoir. C’est celle du voisin et elle marche encore très bien. ""Je l’ai jetée parce que la télévision m’a fait du mal"", lui dit le monsieur. Mathilde est tentée de récupérer le poste en cachette. En même temps, elle ne peut s’empêcher de repenser à cette phrase mystérieuse. Pour en avoir le coeur net, il faut d’abord retourner voir ce voisin pas comme les autres...",Ecole des loisirs,2004,Text,,Mouche,,Elémentaire,Loanable,1205,800.000,,
J'aime lire n° 203,,,,rien,"Le petit garçon a décidé tout seul d'entreprendre des collections et ça ne regarde personne. Le choix d'une collection est une chose très sérieuse : même s'il en change tous les jours, même si Maman s'obstine à jeter les papiers de bonbons qui constituent justement une de ses collections, même si son grand frère, qui est pourtant son meilleur ami, lui propose une collection de chaussettes sales. Et quand le petit garçon commence une collection très spéciale, une collection où il est question de filles et d'amour fou, il n'est pas question de rire. D'ailleurs, parfois, les collections peuvent réserver des surprises.",Bayard,,Text;Periodical,,,203,Elémentaire,Loanable,1206,,,
Julie des loups,201013978X,"Craighead Gearge, Jean","Beaujard, Yves",histoire d'enfants|loup,,G.P.,1975,Text,,Livre de poche,91,Elémentaire,Loanable,1207,800.000,,
James et la grosse pêche,2.07.033038.9,"Dahl, Roald","Siméon, Michel",histoire d'enfants,,Gallimard,1966,Text,18 cm,Folio junior,,Cours moyen,Loanable,1208,800.000,,
Où est passé le chat ?,201020140X,"Déjean, Jean-luc","Korkos, Alain",science fiction|préhistoire,"Lorsque la machine à remonter le temps du professeur Oleg s'emballe, toute la famille de Jojo se retrouve projetée de l'an 2054 à la préhistoire, où il leur faut réapprendre les gestes pour survivre.",Hachette,1984,Text,,Livre de poche jeunesse,,Cours moyen,Loanable,1209,800.000,,
J'aime lire n° 178,,,,rien,"Amiche, le chat de Sonia, vient de Kabylie.Sa présence dans un petit bourg du Sud de la France soulève l'hostilité des habitants.",Bayard,,Text;Periodical,,,178,Cours moyen,Loanable,1210,,,
Abeille,,"France, Anatole","Bessière, Christian",histoire d'enfants,,Larousse,,Text,,Classiques junior,,Cours moyen,Loanable,1211,800.000,,
Un tag pour Lisa,2203117702,"Stéphane, Daniel","Rouil, Christophe",roman,"Diembi était passé maître dans l'art compliqué de composer, à l'aide de marqueurs de couleurs différentes, sa propre signature ou celle du groupe qu'il formait avec Hakim, Bouboule et Miki. Dans le milieu du graffiti, le graf"", on respectait Diembi. Sa réputation avait depuis longtemps franchi les murs de l'école."" Entre deux tags, Diembi se repose sur les bancs du CM2, écoutant avec plus ou moins d'attention ce que raconte Mlle Duchignon. C'est alors que débarque Lisa, avec ses cheveux noirs et ses yeux à la menthe. Secrète et différente, Lisa intimide Diembi : un comble ! Mais un grave danger guette la belle écolière, assurément de quoi faire sortir Diembi de sa stupeur !",Casterman,1995,Text,,Dix & plus,,Cours moyen,Loanable,1212,800.000,,
